Indice;Fecha;Open;Close;Variacion_diaria;Descripcion
0;2021-03-30;57750.132813;58917.691406;1167.5585930000016;Sube
1;2021-03-31;58930.277344;58918.832031;-11.445313000003807;Baja
2;2021-04-01;58926.5625;59095.808594;169.2460940000019;Sube
3;2021-04-02;59098.878906;59384.3125;285.4335940000019;Sube
4;2021-04-03;59397.410156;57603.890625;-1793.519530999998;Baja
5;2021-04-04;57604.839844;58758.554688;1153.7148439999946;Sube
6;2021-04-05;58760.875;59057.878906;297.0039059999981;Sube
7;2021-04-06;59171.933594;58192.359375;-979.5742190000019;Baja
8;2021-04-07;58186.507813;56048.9375;-2137.5703129999965;Baja
9;2021-04-08;56099.914063;58323.953125;2224.0390620000035;Sube
10;2021-04-09;58326.5625;58245.003906;-81.5585940000019;Baja
11;2021-04-10;58253.777344;59793.234375;1539.457030999998;Sube
12;2021-04-11;59846.230469;60204.964844;358.734375;Sube
13;2021-04-12;60175.945313;59893.453125;-282.49218799999653;Baja
14;2021-04-13;59890.019531;63503.457031;3613.4375;Sube
15;2021-04-14;63523.753906;63109.695313;-414.05859300000157;Baja
16;2021-04-15;63075.195313;63314.011719;238.81640600000537;Sube
17;2021-04-16;63258.503906;61572.789063;-1685.7148430000016;Baja
18;2021-04-17;61529.921875;60683.820313;-846.1015620000035;Baja
19;2021-04-18;60701.886719;56216.183594;-4485.703125;Baja
20;2021-04-19;56191.585938;55724.265625;-467.32031299999653;Baja
21;2021-04-20;55681.792969;56473.03125;791.2382809999981;Sube
22;2021-04-21;56471.128906;53906.089844;-2565.039061999996;Baja
23;2021-04-22;53857.105469;51762.273438;-2094.8320310000054;Baja
24;2021-04-23;51739.808594;51093.652344;-646.15625;Baja
25;2021-04-24;51143.226563;50050.867188;-1092.359375;Baja
26;2021-04-25;50052.832031;49004.253906;-1048.578125;Baja
27;2021-04-26;49077.792969;54021.753906;4943.960936999996;Sube
28;2021-04-27;54030.304688;55033.117188;1002.8125;Sube
29;2021-04-28;55036.636719;54824.703125;-211.9335940000019;Baja
30;2021-04-29;54858.089844;53555.109375;-1302.980469000002;Baja
31;2021-04-30;53568.664063;57750.175781;4181.511718000002;Sube
32;2021-05-01;57714.664063;57828.050781;113.38671800000157;Sube
33;2021-05-02;57825.863281;56631.078125;-1194.785155999998;Baja
34;2021-05-03;56620.273438;57200.292969;580.0195310000054;Sube
35;2021-05-04;57214.179688;53333.539063;-3880.640625;Baja
